languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,mateiionita/taming-the-bert-a-baseline,Taming the BERT - a baseline,Matei Ionita,,2019-03-06T16:18:55.477Z,,False,,False,False,False,False,False,False,False,[],[],[],[],158,gendered-pronoun-resolution
,,,,,0,keyit92/coref-by-mlp-cnn-coattention,"Coref By MLP, CNN, Coattention",Keyi Tang,,2019-02-25T04:02:34.563Z,,False,,False,False,False,False,False,False,False,[],[],[],[],101,gendered-pronoun-resolution
,,,,,0,ashishpatel26/research-summary-with-co-reference-resolutions,Research Summary with Co-reference Resolutions..🇬,NowYSM,,2019-02-13T07:51:26.29Z,,False,,False,False,False,False,False,False,False,[],[],[],[],70,gendered-pronoun-resolution
,,,,,0,kashnitsky/simple-logistic-regression-bert-0-27-lb,Simple logistic regression & BERT [0.27 LB],Yury Kashnitsky,,2019-04-14T09:39:54.98Z,,False,,False,False,False,False,False,False,False,[],[],[],[],65,gendered-pronoun-resolution
,,,,,0,chanhu/bert-score-layer-lb-0-475,Bert +  Score Layer (LB 0.475),Chanhu,,2019-03-26T03:19:12.923Z,,False,,False,False,False,False,False,False,False,[],[],[],[],65,gendered-pronoun-resolution
,,,,,0,ceshine/pytorch-bert-baseline-public-score-0-54,[PyTorch] BERT Baseline (Public Score ~ 0.54),Ceshine Lee,,2019-03-24T05:16:10.253Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,gendered-pronoun-resolution
,,,,,0,shujian/ml-model-example-with-train-test,ML Model Example with Train & Test,Shujian Liu,,2019-02-10T04:48:25.483Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,gendered-pronoun-resolution
,,,,,0,ceshine/pytorch-bert-endpointspanextractor-kfold,[PyTorch] BERT + EndpointSpanExtractor + KFold,Ceshine Lee,,2019-03-23T16:29:02.247Z,,False,,False,False,False,False,False,False,False,[],[],[],[],43,gendered-pronoun-resolution
,,,,,0,sattree/1-coref-visualization-jupyter-allenlp-stanford,1. Coref visualization jupyter allenlp stanford...,Sandeep Attree,,2019-02-18T04:22:10.52Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,gendered-pronoun-resolution
,,,,,0,keyit92/end2end-coref-resolution-by-attention-rnn,End2End Coref Resolution By Attention RNN,Keyi Tang,,2019-03-02T17:59:01.247Z,,False,,False,False,False,False,False,False,False,[],[],[],[],34,gendered-pronoun-resolution
