languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,dster/two-sigma-news-official-getting-started-kernel,Two Sigma News Official Getting Started Kernel,DJ Sterling,,2018-10-03T19:41:21.1Z,,False,,False,False,False,False,False,False,False,[],[],[],[],993,two-sigma-financial-news
,,,,,0,artgor/eda-feature-engineering-and-everything,"EDA, feature engineering and everything",Andrew Lukyanenko,,2019-02-21T18:49:15.363Z,,False,,False,False,False,False,False,False,False,[],[],[],[],976,two-sigma-financial-news
,,,,,0,bguberfain/a-simple-model-using-the-market-and-news-data,A simple model - using the market and news data,Bruno G. do Amaral,,2018-09-27T17:11:53.437Z,,False,,False,False,False,False,False,False,False,[],[],[],[],293,two-sigma-financial-news
,,,,,0,qqgeogor/eda-script-67,eda script 67,qianqian,,2018-11-19T03:37:43.74Z,,False,,False,False,False,False,False,False,False,[],[],[],[],232,two-sigma-financial-news
,,,,,0,christofhenkel/market-data-nn-baseline,Market Data NN Baseline,Dieter,,2018-10-17T08:22:42.777Z,,False,,False,False,False,False,False,False,False,[],[],[],[],207,two-sigma-financial-news
,,,,,0,youhanlee/simple-quant-features-using-python,Simple quant features using python,YouHan Lee,,2018-09-27T17:24:22.45Z,,False,,False,False,False,False,False,False,False,[],[],[],[],156,two-sigma-financial-news
,,,,,0,ashishpatel26/bird-eye-view-of-two-sigma-nn-approach,👨‍🔬 Bird Eye 👀 view of Two Sigma + NN Approach,NowYSM,,2018-10-26T12:49:54.103Z,,False,,False,False,False,False,False,False,False,[],[],[],[],156,two-sigma-financial-news
,,,,,0,pestipeti/simple-eda-two-sigma,Simple EDA - Two Sigma,Peter,,2018-09-27T20:23:44.13Z,,False,,False,False,False,False,False,False,False,[],[],[],[],137,two-sigma-financial-news
,,,,,0,danielson/cleaning-up-market-data-errors-and-stock-splits,Cleaning Up Market Data Errors (and Stock Splits),danielson,,2018-11-14T19:13:26.863Z,,False,,False,False,False,False,False,False,False,[],[],[],[],131,two-sigma-financial-news
,,,,,0,jsaguiar/baseline-with-news,Baseline with News,Aguiar,,2018-11-25T21:10:18.647Z,,False,,False,False,False,False,False,False,False,[],[],[],[],119,two-sigma-financial-news
,,,,,0,zikazika/predicting-stock-movement,Predicting stock movement,Noah Weber,,2019-03-20T09:08:34.987Z,,False,,False,False,False,False,False,False,False,[],[],[],[],116,two-sigma-financial-news
,,,,,0,dmdm02/complete-eda-voting-lightgbm, Complete EDA + voting LightGBM,minh_nguyen,,2018-11-09T15:01:39.227Z,,False,,False,False,False,False,False,False,False,[],[],[],[],111,two-sigma-financial-news
,,,,,0,marketneutral/eda-what-does-mktres-mean,EDA: What does Mktres mean?,marketneutral,,2018-10-12T19:39:20.86Z,,False,,False,False,False,False,False,False,False,[],[],[],[],97,two-sigma-financial-news
,,,,,0,chocozzz/two-sigma-news-simple-eda-prophet-nlp,Two Sigma News : Simple EDA + Prophet + NLP,SeaOtter,,2018-09-26T15:45:05.72Z,,False,,False,False,False,False,False,False,False,[],[],[],[],91,two-sigma-financial-news
,,,,,0,wrosinski/shap-feature-importance-with-feature-engineering,SHAP Feature Importance with Feature Engineering,Wojtek Rosinski,,2018-11-17T18:23:58.31Z,,False,,False,False,False,False,False,False,False,[],[],[],[],78,two-sigma-financial-news
,,,,,0,dmitrypukhov/eda-and-lstm-with-generator-for-market-and-news,EDA and LSTM with generator for market and news,Dmitry Pukhov,,2018-12-20T03:32:43.967Z,,False,,False,False,False,False,False,False,False,[],[],[],[],73,two-sigma-financial-news
,,,,,0,ashishpatel26/attension-layer-basic-for-nlp,Attension Layer Basic For NLP,NowYSM,,2019-01-04T07:43:54.557Z,,False,,False,False,False,False,False,False,False,[],[],[],[],69,two-sigma-financial-news
,,,,,0,marketneutral/the-fallacy-of-encoding-assetcode,The fallacy of encoding assetCode ,marketneutral,,2018-10-16T15:48:42.833Z,,False,,False,False,False,False,False,False,False,[],[],[],[],68,two-sigma-financial-news
,,,,,0,kazuokiriyama/tuning-hyper-params-in-lgbm-achieve-0-66-in-lb,Tuning hyper-params in LGBM achieve >0.66 in LB,kkiriyama,,2018-10-23T14:15:05.463Z,,False,,False,False,False,False,False,False,False,[],[],[],[],63,two-sigma-financial-news
,,,,,0,jannesklaas/lb-0-63-xgboost-baseline,[lb>0.63]XGBoost Baseline,Jannes Klaas,,2018-09-29T17:17:16.463Z,,False,,False,False,False,False,False,False,False,[],[],[],[],62,two-sigma-financial-news
,,,,,0,rabaman/0-64-in-100-lines,>0.64 in 100 lines,Raba,,2018-11-11T00:54:31.587Z,,False,,False,False,False,False,False,False,False,[],[],[],[],60,two-sigma-financial-news
,,,,,0,magichanics/amateur-hour-using-headlines-to-predict-stocks,Amateur Hour - Using Headlines to Predict Stocks,Jan,,2018-11-16T17:12:34.493Z,,False,,False,False,False,False,False,False,False,[],[],[],[],51,two-sigma-financial-news
,,,,,0,nareyko/prediction-based-on-test-data,Prediction based on test data,Vadim Nareyko,,2018-11-02T17:37:43.3Z,,False,,False,False,False,False,False,False,False,[],[],[],[],49,two-sigma-financial-news
,,,,,0,fabiendaniel/my-2cents-to-2sigma,My 2Cents to 2Sigma,FabienDaniel,,2018-12-20T21:48:53.003Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,two-sigma-financial-news
,,,,,0,guowenrui/market-nn-if-you-like-you-can-use-it-and-upvote,"Market NN(If you like, you can use it and upvote)",sord,,2018-10-24T05:21:47.76Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,two-sigma-financial-news
,,,,,0,alluxia/lb-0-6326-tuned-xgboost-baseline,[LB>0.6326]Tuned XGBoost Baseline ,xiao-xiao,,2018-09-29T01:09:45.367Z,,False,,False,False,False,False,False,False,False,[],[],[],[],48,two-sigma-financial-news
,,,,,0,silvernine/very-simple-nn-model-market-data-only,Very Simple NN Model (Market Data Only),Silvernine,,2018-11-10T22:03:58.903Z,,False,,False,False,False,False,False,False,False,[],[],[],[],46,two-sigma-financial-news
,,,,,0,pennacchio/env-var07,env._var07,Alan Pennacchio,,2018-10-30T05:17:39.527Z,,False,,False,False,False,False,False,False,False,[],[],[],[],44,two-sigma-financial-news
,,,,,0,konohayui/apply-t-sne-on-news,Apply t-SNE on News,亜城木夢叶,,2018-10-30T23:43:05.827Z,,False,,False,False,False,False,False,False,False,[],[],[],[],44,two-sigma-financial-news
,,,,,0,nyakamura/lb-4-modified-reciprocal-of-r,"LB > 4 modified (reciprocal of ""r"")",y-naka,,2018-10-30T06:49:12.957Z,,False,,False,False,False,False,False,False,False,[],[],[],[],42,two-sigma-financial-news
,,,,,0,marketneutral/eda-security-master-analysis,EDA: Security Master Analysis,marketneutral,,2018-10-29T21:56:35.233Z,,False,,False,False,False,False,False,False,False,[],[],[],[],41,two-sigma-financial-news
