languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,abhinand05/bert-for-humans-tutorial-baseline,BERT for Humans: Tutorial+Baseline,Abhinand,,2020-01-12T15:50:46.747Z,,False,,False,False,False,False,False,False,False,[],[],[],[],864,tensorflow2-question-answering
,,,,,0,prokaj/bert-joint-baseline-notebook,bert joint baseline notebook,prvi,,2019-12-06T16:25:45.707Z,,False,,False,False,False,False,False,False,False,[],[],[],[],281,tensorflow2-question-answering
,,,,,0,mmmarchetti/tensorflow-2-0-bert-yes-no-answers,TensorFlow 2.0 - Bert YES/NO Answers,Marcos Martins Marchetti,,2019-12-10T22:59:52.377Z,,False,,False,False,False,False,False,False,False,[],[],[],[],188,tensorflow2-question-answering
,,,,,0,philculliton/using-tensorflow-2-0-w-bert-on-nq,Using Tensorflow 2.0 w/ Bert on NQ,Phil Culliton,,2019-10-29T19:22:50.573Z,,False,,False,False,False,False,False,False,False,[],[],[],[],149,tensorflow2-question-answering
,,,,,0,ragnar123/exploratory-data-analysis-and-baseline,Exploratory data analysis and baseline,Martin Kovacevic Buvinic,,2019-11-14T17:02:20.007Z,,False,,False,False,False,False,False,False,False,[],[],[],[],140,tensorflow2-question-answering
,,,,,0,opanichev/tf2-0-qa-binary-classification-baseline,TF2.0 QA - Binary Classification Baseline,Oleg Panichev,,2019-11-05T22:33:13.727Z,,False,,False,False,False,False,False,False,False,[],[],[],[],108,tensorflow2-question-answering
,,,,,0,dimitreoliveira/using-tf-2-0-w-bert-on-nq-translated-to-tf2-0,Using TF 2.0 w/ Bert on NQ - (translated to TF2.0),DimitreOliveira,,2019-11-23T02:00:44.93Z,,False,,False,False,False,False,False,False,False,[],[],[],[],105,tensorflow2-question-answering
,,,,,0,sakami/tfqa-pytorch-baseline,tfQA PyTorch baseline,sakami,,2019-11-25T13:26:03.39Z,,False,,False,False,False,False,False,False,False,[],[],[],[],102,tensorflow2-question-answering
,,,,,0,seesee/submit-full,submit_full,See--,,2020-01-19T09:38:53.763Z,,False,,False,False,False,False,False,False,False,[],[],[],[],93,tensorflow2-question-answering
,,,,,0,xhlulu/tf-qa-jsonl-to-dataframe,TF QA: jsonl to DataFrame,xhlulu,,2019-12-03T20:29:40.917Z,,False,,False,False,False,False,False,False,False,[],[],[],[],67,tensorflow2-question-answering
,,,,,0,mmmarchetti/bert-joint,BERT Joint,Marcos Martins Marchetti,,2020-01-03T17:45:41.42Z,,False,,False,False,False,False,False,False,False,[],[],[],[],66,tensorflow2-question-answering
,,,,,0,yihdarshieh/inference-use-hugging-face-models,Inference - Use Hugging Face models,Yih-Dar SHIEH,,2019-12-26T22:49:44.303Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,tensorflow2-question-answering
,,,,,0,opanichev/text-similarity-baseline,Text similarity Baseline,Oleg Panichev,,2019-11-17T01:40:36.747Z,,False,,False,False,False,False,False,False,False,[],[],[],[],58,tensorflow2-question-answering
,,,,,0,yutanakamura/nlp-express-0-data-loading-visualization,NLP express 0: data loading & visualization,osakanachan,,2019-11-07T02:05:41.297Z,,False,,False,False,False,False,False,False,False,[],[],[],[],47,tensorflow2-question-answering
,,,,,0,hamditarek/topic-modeling-lsa-and-lda,Topic Modeling: LSA and LDA,Tarek Hamdi,,2021-02-19T16:01:30.533Z,,False,,False,False,False,False,False,False,False,[],[],[],[],44,tensorflow2-question-answering
,,,,,0,yihdarshieh/my-training,My training,Yih-Dar SHIEH,,2019-12-22T04:21:05.7Z,,False,,False,False,False,False,False,False,False,[],[],[],[],40,tensorflow2-question-answering
,,,,,0,petrov/first-long-paragraph,First Long paragraph,Anton Petrov,,2019-11-14T16:41:14.05Z,,False,,False,False,False,False,False,False,False,[],[],[],[],40,tensorflow2-question-answering
,,,,,0,xhlulu/tf2-qa-lstm-for-long-answers-predictions,TF2 QA: LSTM for long answers predictions,xhlulu,,2019-11-07T23:35:24.613Z,,False,,False,False,False,False,False,False,False,[],[],[],[],39,tensorflow2-question-answering
,,,,,0,philculliton/tf2-0-baseline-w-bert,TF2.0 Baseline w/ BERT,Phil Culliton,,2019-10-27T16:05:47.73Z,,False,,False,False,False,False,False,False,False,[],[],[],[],33,tensorflow2-question-answering
,,,,,0,andrewgao/tensorflow-2-0-bert-yes-no-answers,TensorFlow 2.0 - Bert YES/NO Answers,Andrew Gao,,2019-12-12T03:35:44.287Z,,False,,False,False,False,False,False,False,False,[],[],[],[],30,tensorflow2-question-answering
,,,,,0,axel81/hugging-face-transformers-pytorch-setup,Hugging Face Transformers: PyTorch Setup ,Ram Ramrakhya,,2019-11-17T09:59:50.847Z,,False,,False,False,False,False,False,False,False,[],[],[],[],29,tensorflow2-question-answering
,,,,,0,kashnitsky/solid-bert-joint-baseline-0-65-0-66,Solid BERT-joint baseline [0.65/0.66],Yury Kashnitsky,,2020-01-23T12:59:41.89Z,,False,,False,False,False,False,False,False,False,[],[],[],[],26,tensorflow2-question-answering
,,,,,0,kashnitsky/one-bit-at-a-time-lb-probing,One bit at a time [LB probing],Yury Kashnitsky,,2019-11-15T19:53:55.88Z,,False,,False,False,False,False,False,False,False,[],[],[],[],25,tensorflow2-question-answering
,,,,,0,negedng/bert-embeddings-with-tensorflow-2-0-example,BERT Embeddings with TensorFlow 2.0 Example,negedng,,2019-10-30T14:29:47.85Z,,False,,False,False,False,False,False,False,False,[],[],[],[],24,tensorflow2-question-answering
,,,,,0,kenkrige/nq-direct-submit,NQ_direct_submit,Ken Krige,,2020-01-12T09:54:56.413Z,,False,,False,False,False,False,False,False,False,[],[],[],[],22,tensorflow2-question-answering
,,,,,0,yihdarshieh/tf2-training-on-gcp-tpu,TF2 - Training on GCP + TPU,Yih-Dar SHIEH,,2020-01-07T20:35:18.41Z,,False,,False,False,False,False,False,False,False,[],[],[],[],21,tensorflow2-question-answering
,,,,,0,khairulislam/intro-to-dataset,Intro to dataset,Khairul Islam,,2019-10-29T19:50:02.073Z,,False,,False,False,False,False,False,False,False,[],[],[],[],20,tensorflow2-question-answering
,,,,,0,dimitreoliveira/tf2-0-baseline-w-bert-translated-to-tf2-0,TF2.0 Baseline w/ BERT - (translated to TF2.0),DimitreOliveira,,2019-11-23T01:52:59.89Z,,False,,False,False,False,False,False,False,False,[],[],[],[],19,tensorflow2-question-answering
,,,,,0,user189546/tfqa-bert-train,tfqa-bert-train,Anastasia Karpovich,,2020-02-04T04:38:50.49Z,,False,,False,False,False,False,False,False,False,[],[],[],[],17,tensorflow2-question-answering
,,,,,0,kentaronakanishi/tf2-0-way-to-accumulate-gradients-in-custom-loop,[TF2.0] Way to accumulate gradients in custom loop,cfiken,,2020-01-17T17:34:28.697Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tensorflow2-question-answering
,,,,,0,rooshroosh/tf2-0-qa-binary-classification-baseline,TF2.0 QA - Binary Classification Baseline,Ruslan  Talipov,,2019-11-12T07:13:18.9Z,,False,,False,False,False,False,False,False,False,[],[],[],[],15,tensorflow2-question-answering
,,,,,0,axel81/inference-use-hugging-face-postprocess,Inference - Use Hugging Face PostProcess,Ram Ramrakhya,,2020-01-21T18:00:32.28Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tensorflow2-question-answering
,,,,,0,tyagit3/tfqa-visualise-qa,TFQA - Visualise QA,Sahil Tyagi,,2019-10-29T16:16:11.97Z,,False,,False,False,False,False,False,False,False,[],[],[],[],14,tensorflow2-question-answering
,,,,,0,prokaj/bert-preprocess-notebook,bert preprocess notebook,prvi,,2019-11-20T11:45:59.527Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tensorflow2-question-answering
,,,,,0,opanichev/tf2-0-qa-feature-extraction,TF2.0 QA - Feature Extraction,Oleg Panichev,,2019-11-05T15:08:59.577Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tensorflow2-question-answering
,,,,,0,xhlulu/tf2-qa-lstm-inference-kernel,TF2 QA: LSTM Inference Kernel,xhlulu,,2019-11-13T20:04:45.387Z,,False,,False,False,False,False,False,False,False,[],[],[],[],13,tensorflow2-question-answering
,,,,,0,boliu0/7th-place-submission,7th place submission,Bo,,2020-01-24T19:41:27.633Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,tensorflow2-question-answering
,,,,,0,snovaisg/just-another-exploratory-data-analysis,Just Another Exploratory Data Analysis,snovaisg,,2019-11-13T11:18:43.787Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,tensorflow2-question-answering
,,,,,0,kishan94/tf2-0-qa-json-answers-extractor-to-pandas,TF2.0 QA - JSON Answers Extractor to Pandas,Kishan Maladkar,,2019-11-02T10:46:23.957Z,,False,,False,False,False,False,False,False,False,[],[],[],[],11,tensorflow2-question-answering
