languageNullable,kernelTypeNullable,isPrivateNullable,enableGpuNullable,enableInternetNullable,id,ref,title,author,slug,lastRunTime,language,hasLanguage,kernelType,hasKernelType,isPrivate,hasIsPrivate,enableGpu,hasEnableGpu,enableInternet,hasEnableInternet,categoryIds,datasetDataSources,kernelDataSources,competitionDataSources,totalVotes,competitionId
,,,,,0,anokas/data-analysis-xgboost-starter-0-35460-lb,Data Analysis & XGBoost Starter (0.35460 LB),anokas,,2017-04-12T14:22:20.623Z,,False,,False,False,False,False,False,False,False,[],[],[],[],1399,quora-question-pairs
,,,,,0,rajmehra03/a-detailed-explanation-of-keras-embedding-layer,A Detailed Explanation of Keras Embedding Layer,Raj Mehrotra,,2019-01-06T07:02:19.2Z,,False,,False,False,False,False,False,False,False,[],[],[],[],657,quora-question-pairs
,,,,,0,lystdo/lstm-with-word2vec-embeddings,LSTM with word2vec embeddings,icebai,,2017-04-28T11:17:02.827Z,,False,,False,False,False,False,False,False,False,[],[],[],[],281,quora-question-pairs
,,,,,0,cpmpml/spell-checker-using-word2vec,Spell Checker using Word2vec,CPMP,,2017-05-12T06:46:25.403Z,,False,,False,False,False,False,False,False,False,[],[],[],[],271,quora-question-pairs
,,,,,0,philschmidt/quora-eda-model-selection-roc-pr-plots,"Quora EDA & Model selection (ROC, PR plots)",Philipp Schmidt,,2017-04-14T22:37:26.19Z,,False,,False,False,False,False,False,False,False,[],[],[],[],256,quora-question-pairs
,,,,,0,sudalairajkumar/simple-leaky-exploration-notebook-quora,Simple Leaky Exploration Notebook - Quora,SRK,,2017-05-25T08:43:45.913Z,,False,,False,False,False,False,False,False,False,[],[],[],[],183,quora-question-pairs
,,,,,0,jturkewitz/magic-features-0-03-gain,Magic Features (0.03 gain),Jared Turkewitz,,2017-05-03T16:27:24.393Z,,False,,False,False,False,False,False,False,False,[],[],[],[],156,quora-question-pairs
,,,,,0,jeffd23/visualizing-word-vectors-with-t-sne,Visualizing Word Vectors with t-SNE,Jeff Delaney,,2017-03-18T22:30:12.033Z,,False,,False,False,False,False,False,False,False,[],[],[],[],153,quora-question-pairs
,,,,,0,currie32/the-importance-of-cleaning-text,The Importance of Cleaning  Text,Currie32,,2017-04-01T20:29:19.91Z,,False,,False,False,False,False,False,False,False,[],[],[],[],134,quora-question-pairs
,,,,,0,liananapalkova/simply-about-word2vec,Simply about Word2Vec,Liana Napalkova,,2018-11-01T17:51:00.737Z,,False,,False,False,False,False,False,False,False,[],[],[],[],105,quora-question-pairs
,,,,,0,davidthaler/how-many-1-s-are-in-the-public-lb,How many 1's are in the Public LB?,David Thaler,,2017-04-27T20:16:05.83Z,,False,,False,False,False,False,False,False,False,[],[],[],[],105,quora-question-pairs
,,,,,0,tour1st/magic-feature-v2-0-045-gain,Magic feature v2(0.045 gain),tour1st,,2017-05-21T00:51:38.497Z,,False,,False,False,False,False,False,False,False,[],[],[],[],85,quora-question-pairs
